ufcstats_fighter_id,tapology_fighter_id
001eb2ab0f30e7ea,270917-mark-choinski
002ca196477ce572,45286-gabriel-silva-gabito
003d82fa384ca1d0,58320-aalon-cruz
0052de90691d4a93,53903-davi-ramos
006efbb0c1621fd7,59679-tyler-hill
008c6e1a25751575,wesley-little-pitbull
008cf84faae9c7a5,bryan-travers
008dc37cca279def,sean-mccorkle-big-sexy
008ea710276c9606,117845-jeffrey-molina
009341ed974bad72,34779-jiri-prochazka
009c4420727149ea,29725-aj-dobson
00a35c92b03992b0,134268-oron-kahlon
00a3ff40c4b2cf21,41071-glaico-moreira-nego
00a905a4a4a2b071,greg-mcintyre
00b490982afd1b17,150325-sang-hoon-yoo
00debc804e2b1cd4,dylan-andrews-the-villain
00e11b5c8b7bfeeb,luke-rockhold
010986ee359fb863,john-salter
0112352cb32f5026,152605-denis-tiuliulin
012fc7cd0779c09a,art-santore-pachuco
013da757877044a2,joe-brammer-the-hammer
01641ba5df0c69b0,88338-gabriel-marrentinha
016a8d958883167c,53505-gina-mazany-danger
01762e1d4ff4dc51,165425-justice-torres
01784fbc27c68b14,63874-rachael-ostovich
01afe0916a40c7c5,81052-shavkat-rakhmonov
01b352b6a9074d5c,55773-chase-sherman
01b39decaf0abf6a,benji-radach-razor
01c9e4013afce141,187792-michael-aswell
01d2ed8c502e3828,caros-fodor-the-future
01daf32100ed7517,koji-oishi
01dd4cdc2446f665,gary-padilla
01dfb60661153735,126923-paulo-renato-jr
01f022fa494188e2,josh-bryant-the-beast
01f86e2d604e2f3c,yoko-takahashi
01fcef7e3d051722,9929-enrique-briones-henry-bure
01fed6f61ebea01f,20858-jay-parrin
02177caefe7c07d4,lloyd-van-dams-the-tornado
0232cabbc30a2372,34063-adrian-yanez
024158997e7c5829,326485-freddy-vidal
02500fb9fd79a974,jason-reinhardt
025f0b1b58fbad01,86260-darko-stosic
026b4f7049085842,harris-sarmiento-the-hitman
029880cdbf5ca089,sean-sherk-the-muscle-shark
029afd138865d20a,38728-rafael-alves-rafa-thai
029e1293e609fd74,65871-abubakr-nurmagomedov
029eaff01e6bb8f0,dustin-poirier-the-diamond
02a65a55f25fb4f3,3612-masakatsu-okuda
02bb48869eb7ac8f,188018-rayanne-amanda
02d276b7d62b3472,rudyard-moncayo
02d808afb96669de,alex-zuniga
02e52b3a595f0786,kevin-jordan-the-shaman
02f0e04acf102ea9,2888-michael-knaap-hammer
02f2a9702ba3d167,13910-Artem-Lobov
02f484417a6fa69d,253924-uran-satybaldiev
02f8fedc18cbd26c,70991-emily-ducote
02fc8f50f56eb307,trent-jenkins
030f08370fd1c2bb,kerry-schall-meat-truck
0313bf497de9c470,igor-borisov
031da10a00c8ccd4,65015-hito-aoi
032b65d5fff611b2,2996-tsuyoshi-kurihara
032cc3922d871c7f,18536-khabib-nurmagomedov
033343da4c0cff8a,carina-damm-beauty-but-the-beast
033d19259f589457,anthony-avila
0359313549d230a1,pete-sell-drago
03688dc3c3af3ac1,bas-rutten-el-guapo
036e96c1c12b8a59,136412-nick-fiore
037cfd34a27d59e9,289653-michael-oliveira-pqd
03b1b79b34eaf217,235466-nayara-maia
03b1e846b09f721d,denis-sobolev
03c9994c5b8958ec,john-cholish
03da33a102d9a45f,jose-canseco
03dee485905dbc9f,121735-zach-scroggins
03e8df49c4a059ba,14725-Yusaku-Nakamura
03f982ca3735070c,17046-walter-harris
040426baba8a45e8,nate-schroeder
04076783ca83d6ae,minoru-toyonaga
040a74bb0a465c54,23359-arnold-allen
040d3b4c735541aa,zoila-frausto-warrior-princess
042cc07ad5a53a33,76000-lucrezia-ria
045f25b3a4c08e81,16561-jack-marshman
04643fd03d9159cc,marcus-aurelio-maximus
046a85108610c0d2,66952-deshawn-boatwright
047a91d3d9c79b05,119395-collin-anglin
04835018f90b118c,74768-casey-oneill
0496cdac0bc9edd8,jesse-finney
049d698d773eb3e1,matt-horwich-suave
04b39f4e8eb59d7c,42964-oluwale-bamgbose
04c15b52c3cc1cab,nate-mohr
04c8b08b16a5b99e,35149-tanner-boser
04d5718ed2661e8c,jorge-gurgel-jg
04e0507b94014dbb,126537-samuel-silva
04f9fe830cf13482,gerald-strebendt-the-finishing-machine
04ff3a711504d6b3,286665-magomed-zaynukov
0505e27a5d00704a,81205-dong-hyun-seo
0509b954421bb327,john-doyle-the-iron-bull
052ceb8976695342,chase-gormley
05339613bf8e9808,rob-font
0541480fbf719d86,houston-alexander-the-assassin
054defd5420a551f,rob-kimmons-the-rosedale-reaper
05560764359161e4,costantinos-phillippou
0565706b1e7f7e7c,81509-kaiwen-li
056c493bbd76a918,42359-henry-cejudo
0577808d22dfe79c,jon-olav-einemo
05866d8c3a321856,marvin-eastman-the-beastman
058e4e08a1ad8aba,dale-hartt-the-demon
0597a4528ebd1307,chris-price-exorcist
05a0556072931f01,15958-jason-allgire
05b17ae24e6bba81,308215-shin-haraguchi
05b43e0ead3df345,43275-kailin-curran
05fa626cb33d15b8,47916-andrea-lee
05fbfe628658c538,ricardo-arona-the-brazilian-tiger
062e57ca1a3c95a8,31694-fiona-muxlow
063649e21bc9d6d5,luiz-azeredo-the-joker
0641c21bec209472,20057-mike-jackson
064b7dc68d786254,41544-cain-carrizosa
065eb44700e641a4,13384-Devin-Powell
06626b6287e1ae1e,56978-chris-padilla
