uuid,promotion_id,promotions,links,strength
653e4070-b739-56b6-9e9a-01346d97b81b,2555,Absolute Championship Akhmat,https://www.tapology.com/fightcenter/promotions/2555-absolute-championship-akhmat-aca,0.860133
998b066f-9260-56d4-8c5a-b6b47b040d38,972,Absolute Championship Berkut,https://www.tapology.com/fightcenter/promotions/972-fight-club-berkut-fcb,0.689981
526cced0-f657-55da-ae04-82ce158fa125,82,Affliction Entertainment,https://www.tapology.com/fightcenter/promotions/82-affliction-entertainment,0.664935
118524a6-bdc2-5f3a-8079-75e711611825,2,Bellator MMA,https://www.tapology.com/fightcenter/promotions/2-bellator-fighting-championships-bfc,0.919252
eff29e09-155c-5b4f-8013-f640fff82592,67,DREAM,https://www.tapology.com/fightcenter/promotions/67-dream,0.68497
3acb877b-5a18-5a83-bb2a-bd3a78d1c958,2026,Dana White's Contender Series,https://www.tapology.com/fightcenter/promotions/2026-dana-whites-contender-series-dwcs,0.704892
a16e2e4c-35f3-5b0b-bd0c-e23940a99343,81,Elite Xtreme Combat,https://www.tapology.com/fightcenter/promotions/81-elite-xtreme-combat-exc,0.711945
b1de5bdd-d07e-5064-a933-a53ef83828b5,6,International Fight League,https://www.tapology.com/fightcenter/promotions/6-international-fight-league-ifl,0.730581
26cb9f18-cf9d-508b-a38c-90e62cd3f0b7,128,Invicta Fighting Championships,https://www.tapology.com/fightcenter/promotions/128-invicta-fighting-championships-ifc,0.692579
dcc20334-5d64-5c2d-b732-833508ec072e,68,K-1,https://www.tapology.com/fightcenter/promotions/68-k-1-premium-dynamite-k-1,0.71849
fcafaf3c-2802-5e9f-817e-9b88ee84bed8,9,Konfrontacja Sztuk Walki,https://www.tapology.com/fightcenter/promotions/9-konfrontacja-sztuk-walki-ksw,0.697923
b9b607a4-d4d4-5a11-8ceb-0e5e1cdc2037,1815,Legacy Fighting Alliance,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa,0.821757
f5c5c79f-c995-59ab-b1a9-92925a72a40d,61,ONE Championship,https://www.tapology.com/fightcenter/promotions/61-one-fighting-championship-ofc,0.865063
39e06a72-9352-592b-8f4e-6eae5ca0386b,1964,Oktagon MMA,https://www.tapology.com/fightcenter/promotions/1964-okatgon-mma-okmma,0.850332
a92c033f-ba8d-5aad-89e0-8e25b523a4e3,80,Pride Fighting Championships,https://www.tapology.com/fightcenter/promotions/80-pride-fighting-championships-pfc,0.662078
0cb1c8c8-7254-5d81-8c60-a87f14630580,1969,Professional Fighters League,https://www.tapology.com/fightcenter/promotions/1969-professional-fighters-league-pfl,0.666342
c562092d-2f69-52cd-8e17-fc66f65bb850,1561,RIZIN Fighting Federation,https://www.tapology.com/fightcenter/promotions/1561-rizin-fighting-federation-rff,0.900313
7339a8cf-0f63-56f8-8d43-66b0c52cd8e5,7,Sengoku Raiden Championship,https://www.tapology.com/fightcenter/promotions/7-sengoku-raiden-championship-src,0.676285
186fcfc1-c3dc-5032-8dd1-c0922f785d54,4,Strikeforce,https://www.tapology.com/fightcenter/promotions/4-strikeforce-sf,0.72156
bef12a49-8dd6-569b-ba10-c236574bb028,1,Ultimate Fighting Championship,https://www.tapology.com/fightcenter/promotions/1-ultimate-fighting-championship-ufc,1.0
d35e9770-0fdb-5581-8267-7915a8922ae8,5,World Extreme Cagefighting,https://www.tapology.com/fightcenter/promotions/5-world-extreme-cagefighting-wec,0.687912
5caac08a-bbbc-5066-a613-1bb4da5461c5,332,World Series of Fighting,https://www.tapology.com/fightcenter/promotions/332-world-series-of-fighting-wsof,0.730901
0fb6169d-9720-5570-8691-c86d63427cdf,1309,011 MMA Team,https://www.tapology.com/fightcenter/promotions/1309-011-mma-team-011,0.715992
588202b7-a375-5205-bfbe-be9a76d3c2ed,3783,100 Series MMA,https://www.tapology.com/fightcenter/promotions/3783-100-series-mma-100s,0.710639
8535c968-98f5-5899-9ee2-d8746826b502,628,100% Fight,https://www.tapology.com/fightcenter/promotions/628-100-fight,0.673157
53767fee-f275-5822-8fc1-c8643b222cf4,147,10th Legion Championship Fighting,https://www.tapology.com/fightcenter/promotions/147-10th-legion-championship-fighting-tlcf,0.737437
73390940-a69e-5451-a44c-461dd0edc631,3950,12 Raund Sports,https://www.tapology.com/fightcenter/promotions/3950-12-raund-sports-12rs,0.698201
260d6fb8-f20e-587d-8ee6-47f0f8716f95,2864,12 Rounds Promotion,https://www.tapology.com/fightcenter/promotions/2864-12-rounds-promotion-12rp,0.700603
c878a709-71dc-5b96-8ba0-3fd35e1e9961,3998,15th Round Promotions,https://www.tapology.com/fightcenter/promotions/3998-15th-round-promotions-15r,0.677444
4dc5a3a5-6f24-5648-bfbc-535ea5d4a570,4285,1Zone MMA,https://www.tapology.com/fightcenter/promotions/4285-1zone-mma-1zmma,0.710896
e74163e2-6e34-5195-83fa-f8a6b32e7d5a,2490,1st Round Promotions,https://www.tapology.com/fightcenter/promotions/2490-1st-round-promotions-1rp,0.696483
c925dbe3-adec-5ba8-9d89-0f99652e040e,1610,1º Round Combat,https://www.tapology.com/fightcenter/promotions/1610-1-round-combat-1rc,0.699848
e6776e84-5384-521b-86a7-3f66e6e12e53,1839,209 Beatdown,https://www.tapology.com/fightcenter/promotions/1839-209-beatdown-209,0.703087
2e931558-31d7-589a-802d-7b14eba2e9cb,2615,247 Fighting Championships,https://www.tapology.com/fightcenter/promotions/2615-247-fighting-championship,0.664711
ca394a1c-9b89-5c6f-a0e8-8480687f8268,2664,2M Box Promotions,https://www.tapology.com/fightcenter/promotions/2664-2m-box-promotions-2mbp,0.721097
eb0d234c-8d74-5864-92e3-e3381b8e4810,195,3 River Throwdown,https://www.tapology.com/fightcenter/promotions/195-three-river-throwdown-3rt,0.709901
56b9b91e-f47d-58e2-9e00-3dcb99138cbe,718,300 Sparta,https://www.tapology.com/fightcenter/promotions/718-300-sparta-300s,0.670541
745af99f-4dfc-5266-a144-cc2fc5c9f225,2303,305 Fights,https://www.tapology.com/fightcenter/promotions/2303-305-fights-305,0.683888
01596d96-39ad-5e6e-ac1b-5c96b8c85a7d,2282,360 Fight Club,https://www.tapology.com/fightcenter/promotions/2282-360-fight-club-360fc,0.672092
7ceaddd6-1d2d-5b44-b001-5c6a453be8b3,1847,360 MMA Fight Nights,https://www.tapology.com/fightcenter/promotions/1847-360-mma-fight-nights-360,0.709397
6b4ea3d2-fc1b-5fc9-b265-f40d8de9467a,2593,360 Promotions,https://www.tapology.com/fightcenter/promotions/2593-360-promotions-360p,0.721734
35a215af-e4da-5159-95f4-68921efdaeef,350,3FC,https://www.tapology.com/fightcenter/promotions/350-3fc-3fc,0.718103
c4d37d3b-f5a2-502f-89be-437eee4ec304,3167,4 Champs Promotions,https://www.tapology.com/fightcenter/promotions/3167-4-champs-promotions-4cp,0.723184
18996b2c-bd02-568b-9170-e7be5c930404,1013,408 Fights,https://www.tapology.com/fightcenter/promotions/1013-408-fights-408,0.675305
7a2284c6-17ca-5c22-9fb3-5726252513cf,3657,4x4 Promotions,https://www.tapology.com/fightcenter/promotions/3657-4x4-promotions-44p,0.734713
0ac44cd8-1562-50ba-91d4-32d594b9e93d,1700,5150 FightWear,https://www.tapology.com/fightcenter/promotions/1700-5150-fightwear-5150,0.660479
4d2128e0-46a6-53fb-aebf-fdd0b21cbb31,2069,51Fifty Fitness Center,https://www.tapology.com/fightcenter/promotions/2069-51fifty-fitness-center-51f,0.675169
26d5f0f5-2939-5f5e-b6a1-5cc2e2c80ff7,551,559 Fights,https://www.tapology.com/fightcenter/promotions/551-559-fights,0.684123
162c5f11-8461-50de-a589-700977a95c09,2977,5th Element Promotions,https://www.tapology.com/fightcenter/promotions/2977-5th-element-promotions-5ep,0.734932
e1ae2bc6-2b8a-5039-a3ad-2852c5493dfa,2300,864 Fighting Championship,https://www.tapology.com/fightcenter/promotions/2300-864-fighting-championship-864,0.738618
c040e9b2-b314-53d3-8a00-b4ecb5ec7bf7,2409,A Batalha FC,https://www.tapology.com/fightcenter/promotions/2409-a-batalha-fc-abfc,0.704431
26adfe03-ff67-54e3-b4f5-e1cb5b44ebbe,710,A Dragon's Tale,https://www.tapology.com/fightcenter/promotions/710-a-dragons-tale-adt,0.717545
761277f5-6562-5872-addb-879c907956f0,995,A Warrior of Life MMA,https://www.tapology.com/fightcenter/promotions/995-a-warrior-of-life-mma-awol,0.709925
fb387d93-f6af-55f8-8fa4-3764366990d3,2585,A&T Promotions,https://www.tapology.com/fightcenter/promotions/2585-a-t-promotions-atp,0.704415
4c922497-bb3b-5e52-9aa2-12ae81fbd4be,947,A+ Promotions,https://www.tapology.com/fightcenter/promotions/947-a-promotions-apmma,0.683981
