id,tapology_promotion_id,tapology_slug,name,baseline_strength,sport_type
bef12a49-8dd6-569b-ba10-c236574bb028,1,1-ultimate-fighting-championship-ufc,Ultimate Fighting Championship,1.00000,mma
886fc670-ae0b-50d6-8d61-90144950d80e,3564,3564-olympic-games-og,International Olympic Committee,0.95000,wrestling
a92c033f-ba8d-5aad-89e0-8e25b523a4e3,80,80-pride-fighting-championships-pfc,Pride Fighting Championships,0.90000,mma
6a44d857-8ac0-577b-bee9-887e246d79e3,2671,2671-abu-dhabi-combat-club-adcc,Abu Dhabi Combat Club,0.89000,grappling
dcc20334-5d64-5c2d-b732-833508ec072e,68,68-k-1-premium-dynamite-k-1,K-1,0.87000,kickboxing
118524a6-bdc2-5f3a-8079-75e711611825,2,2-bellator-fighting-championships-bfc,Bellator MMA,0.86000,mma
9c7e0594-1398-5ea1-b240-7873375263bb,2672,2672-international-brazilian-jiu-jitsu-federation-ibjjf,International Brazilian Jiu-Jitsu Federation,0.85000,grappling
0cb1c8c8-7254-5d81-8c60-a87f14630580,1969,1969-professional-fighters-league-pfl,Professional Fighters League,0.83000,mma
9e3f2862-460d-595c-a378-009e86d6aa22,2605,2605-glory-kickboxing-gk,Glory Kickboxing,0.81500,kickboxing
6f1f260e-c77c-5839-9e96-d66daa79f833,3100,3100-k-1-japan-group-kjp,K-1 Japan Group,0.81200,kickboxing
5db03652-02f6-5468-b466-acf289b621d9,3838,3838-rajadamnern-stadium-rs,Rajadamnern Stadium,0.80000,muay
0dbdbb9b-d69c-56e0-9b68-a5e9a23ad50a,4191,4191-wolnik-league-wl,Wolnik League,0.80000,wrestling
e037e196-fb43-5e03-a7f5-3671e85d114d,2487,2487-top-rank-tr,Top Rank,0.78000,boxing
385d51d7-b25e-5b67-9d7e-e17432e6ddc9,5773,5773-craig-jones-invitational-cji,Craig Jones Invitational,0.78000,grappling
237122ba-25a3-56b4-8c2d-f6df6dc33d30,3101,3101-rise-rise,RISE,0.78000,kickboxing
c562092d-2f69-52cd-8e17-fc66f65bb850,1561,1561-rizin-fighting-federation-rff,RIZIN Fighting Federation,0.78000,mma
f5c5c79f-c995-59ab-b1a9-92925a72a40d,61,61-one-fighting-championship-ofc,ONE Championship,0.77500,mma
526cced0-f657-55da-ae04-82ce158fa125,82,82-affliction-entertainment,Affliction Entertainment,0.77200,mma
7ae0371f-38ae-572f-b03e-fae5d818ad2d,5342,5342-abu-dhabi-extreme-championship-adxc,Abu Dhabi Extreme Championship,0.76000,grappling
eff29e09-155c-5b4f-8013-f640fff82592,67,67-dream,DREAM,0.76000,mma
9a3e10d7-cff2-52ab-9262-3c5b2299efce,3519,3519-it-s-showtime-is,It's Showtime,0.74500,kickboxing
008e710c-c533-5981-acc3-353af465f8bf,3292,3292-hoost-cup-hc,Hoost Cup,0.74200,kickboxing
98906877-5322-5bf9-be9e-bdaed493b5e2,2484,2484-matchroom-boxing-mb,Matchroom Boxing,0.74000,boxing
c60c7dc5-364a-5384-87a5-1cf697fb74ab,3322,3322-world-lethwei-championship-wlc,World Lethwei Championship,0.74000,lethwei
35e4676a-7293-5a73-921d-294b51ecb4e4,3002,3002-enfusion-cage-events-ece,Enfusion,0.73500,kickboxing
e96c3877-f580-5b33-8156-8b35ebbcca0e,3580,3580-bellator-kickboxing-bk,Bellator Kickboxing,0.73200,kickboxing
54868080-0720-54de-b334-545c616f252f,2670,2670-eddie-bravo-invitational-ebi,Eddie Bravo Invitational,0.73000,grappling
3acb877b-5a18-5a83-bb2a-bd3a78d1c958,2026,2026-dana-whites-contender-series-dwcs,Dana White's Contender Series,0.72300,mma
d35e9770-0fdb-5581-8267-7915a8922ae8,5,5-world-extreme-cagefighting-wec,World Extreme Cagefighting,0.72200,mma
34d34612-f1ac-5c14-9e98-7f6ba52f984c,6208,6208-ufc-bjj-ubjj,UFC BJJ,0.71000,grappling
999e858f-9a9d-5e05-b92d-ce778e9796be,3637,3637-karate-combat-kc,Karate Combat,0.71000,karate
fcafaf3c-2802-5e9f-817e-9b88ee84bed8,9,9-konfrontacja-sztuk-walki-ksw,Konfrontacja Sztuk Walki,0.70500,mma
29010786-56b7-5bde-92f1-76fc5174a8be,395,395-world-freefight-challenge-wfc,UAE Warriors,0.70400,mma
