event_tapology_id,event_tapology_url,event_name,event_date_raw,event_date,promotion_name,promotion_tapology_id,promotion_tapology_url
125685,https://www.tapology.com/fightcenter/events/125685-lfa-208,LFA 208: Mecate vs. Reyes,2025-May  9,2025-05-09,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
102757,https://www.tapology.com/fightcenter/events/102757-lfa-165-compton-vs-valente,LFA 165: Compton vs. Valente,2023-Aug 18,2023-08-18,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
100762,https://www.tapology.com/fightcenter/events/100762-lfa-160-sweeney-vs-begosso,LFA 160: Sweeney vs. Begosso,2023-Jun 16,2023-06-16,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
89501,https://www.tapology.com/fightcenter/events/89501-contender-series-2022-week-8,Contender Series 2022,2022-Sep 13,2022-09-13,DWCS,2026,https://www.tapology.com/fightcenter/promotions/2026-dana-whites-contender-series-dwcs
90204,https://www.tapology.com/fightcenter/events/90204-lfa-135-leyva-vs-reis,LFA 135: Leyva vs. Reis,2022-Jul  8,2022-07-08,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
84173,https://www.tapology.com/fightcenter/events/84173-lfa-119-silveira-vs-revel,LFA 119: Silveira vs. Revel,2021-Dec  3,2021-12-03,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
79064,https://www.tapology.com/fightcenter/events/79064-lfa-107-carvalho-vs-davlatmurodov,LFA 107: Kirk vs. Swain,2021-May 14,2021-05-14,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
72079,https://www.tapology.com/fightcenter/events/72079-lfa-90-lazishvili-vs-steele,LFA 90: Lazishvili vs. Steele,2020-Sep  4,2020-09-04,LFA,1815,https://www.tapology.com/fightcenter/promotions/1815-legacy-fighting-alliance-lfa
49728,https://www.tapology.com/fightcenter/events/49728-thunder-fight-13,Thunder Fight 13,2017-Dec 22,2017-12-22,TF,1190,https://www.tapology.com/fightcenter/promotions/1190-thunder-fight-tf
48044,https://www.tapology.com/fightcenter/events/48044-thunder-fight-12-evolution-edition,Thunder Fight 12,2017-Sep 29,2017-09-29,TF,1190,https://www.tapology.com/fightcenter/promotions/1190-thunder-fight-tf
39015,https://www.tapology.com/fightcenter/events/39015-aspera-fc-42,Aspera FC 42,2016-Aug  6,2016-08-06,AN1,940,https://www.tapology.com/fightcenter/promotions/940-aspera-fighting-championship-afc
37862,https://www.tapology.com/fightcenter/events/37862-mfc-12,MFC 12,2016-Mar 12,2016-03-12,MFC,1253,https://www.tapology.com/fightcenter/promotions/1253-master-fighters-championship-mfc
28145,https://www.tapology.com/fightcenter/events/28145-team-nogueira-mma-circuit-sao-paulo,Team Nogueira,2014-Sep 20,2014-09-20,CTN,560,https://www.tapology.com/fightcenter/promotions/560-circuito-team-nogueira-de-mma-ctn
98570,https://www.tapology.com/fightcenter/events/98570-cage-warriors-154-rome,Cage Warriors 154,2023-May  6,2023-05-06,CWFC,55,https://www.tapology.com/fightcenter/promotions/55-cage-warriors-fighting-championship-cwfc
92256,https://www.tapology.com/fightcenter/events/92256-cage-warriors-144,Cage Warriors 144,2022-Oct  7,2022-10-07,CWFC,55,https://www.tapology.com/fightcenter/promotions/55-cage-warriors-fighting-championship-cwfc
84830,https://www.tapology.com/fightcenter/events/84830-the-golden-cage-4,The Golden Cage 6,2021-Dec  4,2021-12-04,TGC,2336,https://www.tapology.com/fightcenter/promotions/2336-the-golden-cage-tgc
80056,https://www.tapology.com/fightcenter/events/80056-messapicum-fighting-championship-4,Messapicum Fighting Championship 4,2021-Jul 24,2021-07-24,MFC,2859,https://www.tapology.com/fightcenter/promotions/2859-cage-warrior-italy-cwi
72341,https://www.tapology.com/fightcenter/events/72341-bellator-milan,Bellator Euro Series 9,2020-Oct  3,2020-10-03,BFC,2,https://www.tapology.com/fightcenter/promotions/2-bellator-fighting-championships-bfc
56350,https://www.tapology.com/fightcenter/events/56350-ufc-fight-night-146,UFC on ESPN+ 3,2019-Feb 23,2019-02-23,UFC,1,https://www.tapology.com/fightcenter/promotions/1-ultimate-fighting-championship-ufc
53984,https://www.tapology.com/fightcenter/events/53984-ufc-fight-night-137,UFC Fight Night 137,2018-Sep 22,2018-09-22,UFC,1,https://www.tapology.com/fightcenter/promotions/1-ultimate-fighting-championship-ufc
51805,https://www.tapology.com/fightcenter/events/51805-ufc-fight-night,UFC Fight Night 130,2018-May 27,2018-05-27,UFC,1,https://www.tapology.com/fightcenter/promotions/1-ultimate-fighting-championship-ufc
50943,https://www.tapology.com/fightcenter/events/50943-cage-warriors-93,Cage Warriors 93,2018-Apr 28,2018-04-28,CWFC,55,https://www.tapology.com/fightcenter/promotions/55-cage-warriors-fighting-championship-cwfc
49247,https://www.tapology.com/fightcenter/events/49247-rxf-29-mma-allstars-4,RXF 29: MMA Allstars 4,2017-Dec 18,2017-12-18,RXF,1029,https://www.tapology.com/fightcenter/promotions/1029-romanian-xtreme-fighting-rxf
46920,https://www.tapology.com/fightcenter/events/46920-magnum-fc-2,Magnum FC 2,2017-Jul 22,2017-07-22,KL,1370,https://www.tapology.com/fightcenter/promotions/1370-kombat-league-kl
45785,https://www.tapology.com/fightcenter/events/45785-venator-fight-night-rimini-venator-fight-night-1,Venator Fight Night 1,2017-May 27,2017-05-27,VFC,1321,https://www.tapology.com/fightcenter/promotions/1321-venator-fighting-championship-vfc
44540,https://www.tapology.com/fightcenter/events/44540-magnum-fc-1,Magnum FC 1,2017-Mar 11,2017-03-11,KL,1370,https://www.tapology.com/fightcenter/promotions/1370-kombat-league-kl
41311,https://www.tapology.com/fightcenter/events/41311-x-fight-nights-at-praha,XFN 1,2016-Jun 12,2016-06-12,XFN,1883,https://www.tapology.com/fightcenter/promotions/1883-x-fight-nights-xfn
38907,https://www.tapology.com/fightcenter/events/38907-fight-or-nothing-road-to-bellator,Fight or Nothing,2016-Apr  2,2016-04-02,FCA,1686,https://www.tapology.com/fightcenter/promotions/1686-fight-club-arena-fca
32055,https://www.tapology.com/fightcenter/events/32055-real,Real 3,2015-Dec  5,2015-12-05,RFC,1137,https://www.tapology.com/fightcenter/promotions/1137-real-fight-championship-rfc
34397,https://www.tapology.com/fightcenter/events/34397-bikes-and-fights-night-2,Bikes and Fights Night 2,2015-Jul 25,2015-07-25,,,
33141,https://www.tapology.com/fightcenter/events/33141-storm-fc-9-pennese-vs-sircu,Storm FC 9: Pennese vs. Sircu,2015-Apr 17,2015-04-17,STORM,1369,https://www.tapology.com/fightcenter/promotions/1369-storm-mma-fighting-championship-storm
124787,https://www.tapology.com/fightcenter/events/124787-bkfc-74,BKFC 74: Richman vs. Dyer,2025-May 10,2025-05-10,BKFC,2682,https://www.tapology.com/fightcenter/promotions/2682-bare-knuckle-fighting-championship-bnfc
