tapology_fighter_id,tapology_url,name,nickname,dob_raw,dob,birth_place,country,fighting_out_of,affiliation_gym,height_in,reach_in,stance,foundation_style,profile_image_url,fetched_at,source_url,source_file
100245-allan-begosso-mini,https://www.tapology.com/fightcenter/fighters/100245-allan-begosso-mini,Allan Begosso,Mini,1995-Nov 23,1995-11-23,"Candido Mota, Sao Paulo, Brazil",BR,"Las Vegas, Nevada, United States",Syndicate MMA,65,67.5,,,https://images.tapology.com/letterbox_images/100245/default/Allan_Begosso.jpg?1663084537,2025-12-27T06:19:48.499000,https://www.tapology.com/fightcenter/fighters/100245-allan-begosso-mini,100245-allan-begosso-mini-5d40cf07a104.json
100348-carlo-pedersoli,https://www.tapology.com/fightcenter/fighters/100348-carlo-pedersoli,Carlo Pedersoli,Semento,1993-Jun 08,1993-06-08,"Miami, Florida",IT,"Rome, Italy",Aurora Mixed Martial Arts,71,75.0,,"Karate , BJJ",https://images.tapology.com/letterbox_images/100348/default/48418069_2750292491651410_6118383730097651712_n_copia.jpg?1596719400,2025-12-27T22:34:50.170309,https://www.tapology.com/fightcenter/fighters/100348-carlo-pedersoli,100348-carlo-pedersoli-03b80c50dd2f.json
100577-kathryn-paprocki,https://www.tapology.com/fightcenter/fighters/100577-kathryn-paprocki,Kathryn Paprocki,,1993-Apr 28,1993-04-28,"Oberlin, Kansas, United States",US,"Westminster, Colorado, United States",DCO MMA & Fitness,63,63.0,,,https://images.tapology.com/letterbox_images/100577/default/Kathryn_Paprocki.jpg?1633637336,2025-12-27T22:30:52.211470,https://www.tapology.com/fightcenter/fighters/100577-kathryn-paprocki,100577-kathryn-paprocki-202c5c3c1e19.json
100668-oliver-murad,https://www.tapology.com/fightcenter/fighters/100668-oliver-murad,Olivier Murad,Warrior of God,1993-Dec 21,1993-12-21,"Queens, New York, United States",HT,"Miami, Florida, United States",Freedom Fighters,69,71.5,,,https://images.tapology.com/letterbox_images/100668/default/Olivier_Murad.jpg?1618370424,2025-12-28T23:11:06.343093,https://www.tapology.com/fightcenter/fighters/100668-oliver-murad,100668-oliver-murad-ba247aa6298d.json
100890-alex-topuria,https://www.tapology.com/fightcenter/fighters/100890-alex-topuria,Aleksandre Topuria,El Conquistador,1996-Jan 28,1996-01-28,Georgia,GE,Spain,Climent Club,67,68.0,,,https://images.tapology.com/letterbox_images/100890/default/FNmJ5_uXwAQVTti.jpg?1647176382,2025-12-29T00:30:42.399754,https://www.tapology.com/fightcenter/fighters/100890-alex-topuria,100890-alex-topuria-e0834263f696.json
10097-seo-hee-ham,https://www.tapology.com/fightcenter/fighters/10097-seo-hee-ham,Seo Hee Ham,Hamzzang,1987-Mar 08,1987-03-08,"Gangwon, South Korea",KR,"Busan, South Korea",Busan Team MAD,62,62.0,,Kickboxing,https://images.tapology.com/letterbox_images/10097/default/Seo-Hee_Ham.jpg?1418858579,2025-12-27T19:05:58.715484,https://www.tapology.com/fightcenter/fighters/10097-seo-hee-ham,10097-seo-hee-ham-c61fbccf7d20.json
101043-melquizael-costa-melkcalty,https://www.tapology.com/fightcenter/fighters/101043-melquizael-costa-melkcalty,Melquizael Costa,The Dalmatian,1996-Sep 14,1996-09-14,"Porto de Moz, Para, Brazil",BR,"Bauru, Sao Paulo, Brazil",Chute Boxe João Emilio,70,71.0,,,https://images.tapology.com/letterbox_images/101043/default/melk_cauthymma_145005829_154179259715977_2252577472661698272_n.jpg?1621557446,2025-12-27T08:18:43.031286,https://www.tapology.com/fightcenter/fighters/101043-melquizael-costa-melkcalty,101043-melquizael-costa-melkcalty-8f9d92a50a7e.json
101085-treston-vines,https://www.tapology.com/fightcenter/fighters/101085-treston-vines,Tre'ston Vines,TV Time,1996-Jun 18,1996-06-18,United States,US,"Alabama, United States",,72,,,,https://images.tapology.com/letterbox_images/101085/default/Screenshot.png?1759278016,2025-12-28T12:16:40.147399,https://www.tapology.com/fightcenter/fighters/101085-treston-vines,101085-treston-vines-7296ac1425cc.json
101215-mantas-kandratavicius,https://www.tapology.com/fightcenter/fighters/101215-mantas-kandratavicius,Mantas Kondratavičius,,1999-Jul 17,1999-07-17,"Kaunas, Lithuania",LT,"Kaunas, Lithuania",Fighter House,74,75.5,,,https://images.tapology.com/letterbox_images/101215/default/mantas-kondratavicius.jpg?1758643465,2025-12-27T20:15:03.902814,https://www.tapology.com/fightcenter/fighters/101215-mantas-kandratavicius,101215-mantas-kandratavicius-84bd5b241d86.json
101415-victor-altamirano,https://www.tapology.com/fightcenter/fighters/101415-victor-altamirano,Victor Altamirano,El Magnifico,1991-Jan 23,1991-01-23,"Mexico City, Mexico",MX,"Fort Worth, Texas, USA",Next Generation MMA World HQ,68,70.0,,,https://images.tapology.com/letterbox_images/101415/default/Victor_Altamirano.jpg?1612760820,2025-12-27T05:56:33.568910,https://www.tapology.com/fightcenter/fighters/101415-victor-altamirano,101415-victor-altamirano-c64512fa5ae3.json
