ufcstats_event_id,ufcstats_event_url,event_name,event_date,location,fetched_at
bc0f994de0521926,http://ufcstats.com/event-details/bc0f994de0521926,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA",2026-02-24T05:04:13.358237+00:00
bd92cf5da5413d2a,http://ufcstats.com/event-details/bd92cf5da5413d2a,UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA",2026-02-24T05:04:14.297682+00:00
92c96df8bdab5fea,http://ufcstats.com/event-details/92c96df8bdab5fea,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar",2026-02-24T05:04:14.970490+00:00
8db1b36dde268ef6,http://ufcstats.com/event-details/8db1b36dde268ef6,UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA",2026-02-24T05:04:15.846979+00:00
6436029b50a9c255,http://ufcstats.com/event-details/6436029b50a9c255,UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA",2026-02-24T05:04:16.678305+00:00
0e2c2daf11b5d8f2,http://ufcstats.com/event-details/0e2c2daf11b5d8f2,UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA",2026-02-24T05:04:17.313474+00:00
7956f026e2672c47,http://ufcstats.com/event-details/7956f026e2672c47,UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2026-02-24T05:04:17.827791+00:00
38e5d9dcb0fddc42,http://ufcstats.com/event-details/38e5d9dcb0fddc42,UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada",2026-02-24T05:04:18.335488+00:00
34f3869747bf8fa9,http://ufcstats.com/event-details/34f3869747bf8fa9,DWCS 9.10,2025-10-14,"Las Vegas, Nevada, USA",
9336e86cfd4ceaa1,http://ufcstats.com/event-details/9336e86cfd4ceaa1,UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil",2026-02-24T05:04:18.947157+00:00
2391a73686200c5d,http://ufcstats.com/event-details/2391a73686200c5d,DWCS 9.9,2025-10-07,"Las Vegas, Nevada, USA",
8944a0f9b2f0ce6d,http://ufcstats.com/event-details/8944a0f9b2f0ce6d,UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA",2026-02-24T05:04:19.752951+00:00
25b31165758402dd,http://ufcstats.com/event-details/25b31165758402dd,DWCS 9.8,2025-09-30,"Las Vegas, Nevada, USA",
ed220e87bef0cc64,http://ufcstats.com/event-details/ed220e87bef0cc64,UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia",2026-02-24T05:04:20.394827+00:00
160b931119c1bf91,http://ufcstats.com/event-details/160b931119c1bf91,DWCS 9.7,2025-09-23,"Las Vegas, Nevada, USA",
99c80d2bd5dbe5a9,http://ufcstats.com/event-details/99c80d2bd5dbe5a9,DWCS 9.6,2025-09-16,"Las Vegas, Nevada, USA",
5efaaf313b652dd7,http://ufcstats.com/event-details/5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,2025-09-13,"San Antonio, Texas, USA",2026-02-24T05:04:21.235356+00:00
a993ef2dd36cea5f,http://ufcstats.com/event-details/a993ef2dd36cea5f,DWCS 9.5,2025-09-09,"Las Vegas, Nevada, USA",
6e380a4d73ab4f0e,http://ufcstats.com/event-details/6e380a4d73ab4f0e,UFC Fight Night: Imavov vs. Borralho,2025-09-06,"Paris, Ile-de-France, France",2026-02-24T05:04:21.933858+00:00
0b534765dca35e71,http://ufcstats.com/event-details/0b534765dca35e71,DWCS 9.4,2025-09-02,"Las Vegas, Nevada, USA",
5fd834edd92c9e50,http://ufcstats.com/event-details/5fd834edd92c9e50,DWCS 9.3,2025-08-26,"Las Vegas, Nevada, USA",
754968e325d6f60d,http://ufcstats.com/event-details/754968e325d6f60d,UFC Fight Night: Walker vs. Zhang,2025-08-23,"Shanghai, Hebei, China",2026-02-24T05:04:23.089576+00:00
8fbcd82bf7f352bf,http://ufcstats.com/event-details/8fbcd82bf7f352bf,UFC - Road to UFC 4.6,2025-08-22,"Shanghai, Hebei, China",2026-02-24T05:04:23.522487+00:00
d9e3743bae8d703d,http://ufcstats.com/event-details/d9e3743bae8d703d,Road to UFC 4.5 + 4.6,2025-08-22,"Shanghai, Hebei, China",
edfe95e3c33a4bf8,http://ufcstats.com/event-details/edfe95e3c33a4bf8,DWCS 9.2,2025-08-19,"Las Vegas, Nevada, USA",
421ccfc6ddb17958,http://ufcstats.com/event-details/421ccfc6ddb17958,UFC 319: Du Plessis vs. Chimaev,2025-08-16,"Chicago, Illinois, USA",2026-02-24T05:04:24.386771+00:00
47b9e0e7703a4868,http://ufcstats.com/event-details/47b9e0e7703a4868,DWCS 9.1,2025-08-12,"Las Vegas, Nevada, USA",
6cd3dfc54f01287f,http://ufcstats.com/event-details/6cd3dfc54f01287f,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,"Las Vegas, Nevada, USA",2026-02-24T05:04:25.176141+00:00
f2c934689243fe4e,http://ufcstats.com/event-details/f2c934689243fe4e,UFC Fight Night: Taira vs. Park,2025-08-02,"Las Vegas, Nevada, USA",2026-02-24T05:04:25.786471+00:00
28d8638ea0a71908,http://ufcstats.com/event-details/28d8638ea0a71908,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",2026-02-24T05:04:26.300417+00:00
b8e2f10efb6eca85,http://ufcstats.com/event-details/b8e2f10efb6eca85,UFC 318: Holloway vs. Poirier 3,2025-07-19,"New Orleans, Louisiana, USA",2026-02-24T05:04:26.915608+00:00
7b03d9df5910917d,http://ufcstats.com/event-details/7b03d9df5910917d,UFC Fight Night: Lewis vs. Teixeira,2025-07-12,"Nashville, Tennessee, USA",2026-02-24T05:04:27.836005+00:00
66766984842c13dc,http://ufcstats.com/event-details/66766984842c13dc,UFC 317: Topuria vs. Oliveira,2025-06-28,"Las Vegas, Nevada, USA",2026-02-24T05:04:28.479423+00:00
400c7b43c86d27d3,http://ufcstats.com/event-details/400c7b43c86d27d3,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,"Baku, Azerbaijan",2026-02-24T05:04:29.240135+00:00
de277a4abcfeea46,http://ufcstats.com/event-details/de277a4abcfeea46,UFC Fight Night: Usman vs. Buckley,2025-06-14,"Atlanta, Georgia, USA",2026-02-24T05:04:29.993340+00:00
18c49685296c60e6,http://ufcstats.com/event-details/18c49685296c60e6,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,"Newark, New Jersey, USA",2026-02-24T05:04:30.696434+00:00
2a898bf9fb7710b3,http://ufcstats.com/event-details/2a898bf9fb7710b3,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,"Las Vegas, Nevada, USA",2026-02-24T05:04:31.344935+00:00
1ce7998e0a215caa,http://ufcstats.com/event-details/1ce7998e0a215caa,Road to UFC 4.3 + 4.4,2025-05-23,"Shanghai, Hebei, China",
2f04c4183523be2e,http://ufcstats.com/event-details/2f04c4183523be2e,Road to UFC 4.1 + 4.2,2025-05-22,"Shanghai, Hebei, China",
8ad022dd81224f61,http://ufcstats.com/event-details/8ad022dd81224f61,UFC Fight Night: Burns vs. Morales,2025-05-17,"Las Vegas, Nevada, USA",2026-02-24T05:04:31.981557+00:00
118463dd8db16e7f,http://ufcstats.com/event-details/118463dd8db16e7f,UFC 315: Muhammad vs. Della Maddalena,2025-05-10,"Montreal, Quebec, Canada",2026-02-24T05:04:32.654871+00:00
de20ffb3fc2e7629,http://ufcstats.com/event-details/de20ffb3fc2e7629,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,"Des Moines, Iowa, USA",2026-02-24T05:04:33.301197+00:00
b2e3aca4cd363477,http://ufcstats.com/event-details/b2e3aca4cd363477,UFC Fight Night: Machado Garry vs. Prates,2025-04-26,"Kansas City, Missouri, USA",2026-02-24T05:04:33.832133+00:00
22f4b6cb6b1bd7fd,http://ufcstats.com/event-details/22f4b6cb6b1bd7fd,UFC 314: Volkanovski vs. Lopes,2025-04-12,"Miami, Florida, USA",2026-02-24T05:04:34.374908+00:00
86b30a86664cb6e4,http://ufcstats.com/event-details/86b30a86664cb6e4,UFC Fight Night: Emmett vs. Murphy,2025-04-05,"Las Vegas, Nevada, USA",2026-02-24T05:04:34.993995+00:00
0f7210aa8d61af8d,http://ufcstats.com/event-details/0f7210aa8d61af8d,UFC Fight Night: Moreno vs. Erceg,2025-03-29,"Mexico City, Distrito Federal, Mexico",2026-02-24T05:04:35.649078+00:00
cc2ad11b1f9d818b,http://ufcstats.com/event-details/cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025-03-22,"London, England, United Kingdom",2026-02-24T05:04:36.346621+00:00
39f62b833e4cf126,http://ufcstats.com/event-details/39f62b833e4cf126,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,"Las Vegas, Nevada, USA",2026-02-24T05:04:36.975651+00:00
ca936c67687789e9,http://ufcstats.com/event-details/ca936c67687789e9,UFC 313: Pereira vs. Ankalaev,2025-03-08,"Las Vegas, Nevada, USA",2026-02-24T05:04:37.799011+00:00
