uuid,event_id,name,date,location,num_fights,url
65654d0d-9d52-5578-825a-56ffefa4b970,6420efac0578988b,UFC 1: The Beginning,1993-11-12,"Denver, Colorado, USA",8,http://www.ufcstats.com/event-details/6420efac0578988b
57df6f30-4d75-52b7-a378-4cb23ea7e5a3,a6a9ab5a824e8f66,UFC 2: No Way Out,1994-03-11,"Denver, Colorado, USA",15,http://www.ufcstats.com/event-details/a6a9ab5a824e8f66
8c96e395-381b-5f4d-b00d-b86794c2093d,1a49e0670dfaca31,UFC 3: The American Dream,1994-09-09,"Charlotte, North Carolina, USA",6,http://www.ufcstats.com/event-details/1a49e0670dfaca31
823c0e2c-2c0d-58d3-9d7a-18f51aef101e,b60391da771deefe,UFC 4: Revenge of the Warriors,1994-12-16,"Tulsa, Oklahoma, USA",10,http://www.ufcstats.com/event-details/b60391da771deefe
ba60c2f0-4ef7-5099-aa68-3c04c3e088a1,dedc3bb440d09554,UFC 5: The Return of the Beast,1995-04-07,"Charlotte, North Carolina, USA",10,http://www.ufcstats.com/event-details/dedc3bb440d09554
2950e569-69f6-5ca4-bbd6-3556980a9186,1c3f5e85b59ec710,UFC 6: Clash of the Titans,1995-07-14,"Casper, Wyoming, USA",10,http://www.ufcstats.com/event-details/1c3f5e85b59ec710
48c19924-7095-56cb-84d3-b7e6dc6cbc25,5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,1995-09-08,"Buffalo, New York, USA",11,http://www.ufcstats.com/event-details/5af480a3b2e1726b
31eba124-f56b-5ad2-a23c-40c125641270,31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,1995-12-16,"Denver, Colorado, USA",9,http://www.ufcstats.com/event-details/31bbd46d57dfbcb7
c1af5dc7-3cb8-5b0d-9568-07f2aa636041,b63e800c18e011b5,UFC 8: David vs Goliath,1996-02-16,"San Juan, Puerto Rico",9,http://www.ufcstats.com/event-details/b63e800c18e011b5
80daa15b-664a-5858-b274-2ec2e80d2093,a390eb8a9b2df298,UFC 9: Motor City Madness,1996-05-17,"Detroit, Michigan, USA",7,http://www.ufcstats.com/event-details/a390eb8a9b2df298
6931576e-a443-59ba-a54c-63594daa9bab,aee8eecfc4bfb1e7,UFC 10: The Tournament,1996-07-12,"Birmingham, Alabama, USA",9,http://www.ufcstats.com/event-details/aee8eecfc4bfb1e7
76ac2a15-0b33-50b4-9165-6dfa58927ceb,6ceff86fae4f6b3b,UFC 11: The Proving Ground,1996-09-20,"Augusta, Georgia, USA",8,http://www.ufcstats.com/event-details/6ceff86fae4f6b3b
2060cb17-718c-5eda-a26d-7d764c5f9e36,9b5b5a75523728f3,UFC - Ultimate Ultimate '96,1996-12-07,"Birmingham, Alabama, USA",10,http://www.ufcstats.com/event-details/9b5b5a75523728f3
7550e9f4-4b02-58c0-a49b-187f48bb016a,96eff1a628adcc7f,UFC 12: Judgement Day,1997-02-07,"Dothan, Alabama, USA",9,http://www.ufcstats.com/event-details/96eff1a628adcc7f
b00ef456-b677-50d7-b631-1095f234f144,5bd533d50c8e7b8a,UFC 13: The Ultimate Force,1997-05-30,"Augusta, Georgia, USA",9,http://www.ufcstats.com/event-details/5bd533d50c8e7b8a
b4833674-d54a-5b88-854d-6af8d1c52cac,a6fd2173d5e2d7f0,Brazil Open '97,1997-06-15,Brazil,2,http://www.ufcstats.com/event-details/a6fd2173d5e2d7f0
38cd444a-d630-549a-a0b9-2fc8b57dd4fb,dc950d59dc590aca,UFC 14: Showdown,1997-07-27,"Birmingham, Alabama, USA",9,http://www.ufcstats.com/event-details/dc950d59dc590aca
9224770b-9839-5c5b-aba4-c2f2cff75fe3,e09dbbd5fe3f0fe2,PRIDE 1,1997-10-11,"Tokyo, Japan",6,http://www.ufcstats.com/event-details/e09dbbd5fe3f0fe2
e4330857-a7f9-5eca-a39f-833a1f219491,07a18ae55dfc3cd9,UFC 15: Collision Course,1997-10-17,"Bay St. Louis, Mississippi, USA",7,http://www.ufcstats.com/event-details/07a18ae55dfc3cd9
e3ba07b7-58b2-5e81-85eb-09c8d6088e4d,29f935654825331b,UFC - Ultimate Japan,1997-12-21,"Yokohama, Kanagawa, Japan",7,http://www.ufcstats.com/event-details/29f935654825331b
75e3b2ea-8fad-5f95-a419-b1016b5c60f8,d5ed14b2153c6ed2,PRIDE 2,1998-03-05,"Yokohama, Kanagawa, Japan",6,http://www.ufcstats.com/event-details/d5ed14b2153c6ed2
e271fd3d-1db1-5360-b44e-c9fc29051252,749685d24e2cac50,UFC 16: Battle in the Bayou,1998-03-13,"New Orleans, Louisiana, USA",8,http://www.ufcstats.com/event-details/749685d24e2cac50
1a6c97d7-bafd-5e9e-bc8a-f64d7a3010c8,4a01dc8376736ef5,UFC 17: Redemption,1998-05-15,"Mobile, Alabama, USA",9,http://www.ufcstats.com/event-details/4a01dc8376736ef5
0e109e4e-97ec-5776-be92-483c8b8a9327,d62bb4d84a7267ba,PRIDE 3,1998-06-24,"Tokyo, Japan",6,http://www.ufcstats.com/event-details/d62bb4d84a7267ba
