ufcstats_fighter_id,ufcstats_url,name,record,dob,height_in,reach_in,stance,fetched_at
d1053e55f00e53fe,http://ufcstats.com/fighter-details/d1053e55f00e53fe,AJ Cunningham,11-5-0,1994-09-07,70.0,71.0,Orthodox,2026-02-24T05:02:51.531823+00:00
009c4420727149ea,http://ufcstats.com/fighter-details/009c4420727149ea,AJ Dobson,7-3-0 (1 NC),1992-01-18,73.0,76.0,Orthodox,2026-02-24T04:56:34.819095+00:00
725b1abc9a39d873,http://ufcstats.com/fighter-details/725b1abc9a39d873,AJ Fletcher,10-3-0,1997-02-18,70.0,67.0,Switch,2026-02-24T04:59:18.348306+00:00
0adf1aacda5e26ac,http://ufcstats.com/fighter-details/0adf1aacda5e26ac,AJ Fonseca,5-4-0,,64.0,,,2026-02-24T04:56:48.415096+00:00
18e4f61f16f458c6,http://ufcstats.com/fighter-details/18e4f61f16f458c6,AJ Matthews,8-7-0,1988-01-23,71.0,,,2026-02-24T04:57:06.725158+00:00
003d82fa384ca1d0,http://ufcstats.com/fighter-details/003d82fa384ca1d0,Aalon Cruz,8-4-0,1989-09-20,72.0,78.0,Switch,2026-02-24T04:56:34.263653+00:00
cf1a88371c8cb690,http://ufcstats.com/fighter-details/cf1a88371c8cb690,Aaron Brink,26-26-0 (2 NC),1974-11-12,75.0,,Orthodox,2026-02-24T05:02:48.972401+00:00
ccdcb20370be62a3,http://ufcstats.com/fighter-details/ccdcb20370be62a3,Aaron Jeffery,10-3-0,1992-11-14,74.0,73.0,Orthodox,2026-02-24T05:02:44.906070+00:00
d73e856f150744b2,http://ufcstats.com/fighter-details/d73e856f150744b2,Aaron Lanfranco,5-1-0,1986-08-26,,,,2026-02-24T05:03:07.125550+00:00
34c2b3656f88f7ef,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,Aaron Phillips,12-5-0,1989-08-05,69.0,71.0,Southpaw,2026-02-24T04:57:45.897710+00:00
5537efc6e496dd84,http://ufcstats.com/fighter-details/5537efc6e496dd84,Aaron Pico,13-5-0,1996-09-23,68.0,70.0,Orthodox,2026-02-24T04:58:34.307046+00:00
f2c8ebbeafd45f2b,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,Aaron Riley,30-14-1,1980-12-09,68.0,69.0,Southpaw,2026-02-24T05:03:45.716449+00:00
11f8860028b68fcf,http://ufcstats.com/fighter-details/11f8860028b68fcf,Aaron Rosa,18-6-0,1983-05-28,76.0,77.0,Orthodox,2026-02-24T04:56:55.257347+00:00
d5f820c11a121050,http://ufcstats.com/fighter-details/d5f820c11a121050,Aaron Simpson,12-5-0,1974-07-20,72.0,73.0,Orthodox,2026-02-24T05:03:00.662519+00:00
7abf7f8778472b7b,http://ufcstats.com/fighter-details/7abf7f8778472b7b,Aaron Tau,11-1-0,1993-08-21,64.0,66.0,Switch,2026-02-24T04:59:31.435259+00:00
1ce7998e0a215caa,http://ufcstats.com/fighter-details/1ce7998e0a215caa,Aaron Wetherspoon,9-5-0 (1 NC),1979-01-11,,,,2026-02-24T04:57:12.751279+00:00
338a11d3674eb2d4,http://ufcstats.com/fighter-details/338a11d3674eb2d4,Aaron Wilkinson,11-7-0,1987-01-31,70.0,,Orthodox,2026-02-24T04:57:44.336432+00:00
b593cd58b0afffb0,http://ufcstats.com/fighter-details/b593cd58b0afffb0,Abdellah Er-Ramy,7-2-0,1996-09-19,72.0,74.0,Orthodox,2026-02-24T05:01:58.877016+00:00
95aff2fd8d09a5f0,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,Abdul Rakhman Yakhyaev,8-0-0,2001-01-03,74.0,78.0,Orthodox,2026-02-24T05:00:20.703995+00:00
eae431e70064e046,http://ufcstats.com/fighter-details/eae431e70064e046,Abdul Razak Alhassan,12-7-0 (1 NC),1985-08-11,70.0,73.0,Orthodox,2026-02-24T05:03:33.181464+00:00
597499ac7a5aac62,http://ufcstats.com/fighter-details/597499ac7a5aac62,Abdul-Kareem Al-Selwady,15-4-0,1995-04-10,68.0,69.0,Orthodox,2026-02-24T04:58:39.940420+00:00
37e03538c960bac6,http://ufcstats.com/fighter-details/37e03538c960bac6,Abdul-Kerim Edilov,17-4-0,1991-11-25,74.0,,Orthodox,2026-02-24T04:57:50.106530+00:00
2f8f3c69522db931,http://ufcstats.com/fighter-details/2f8f3c69522db931,Abel Cullum,20-6-0,1987-04-21,67.0,,Orthodox,2026-02-24T04:57:38.062264+00:00
e14b5aa06eea9653,http://ufcstats.com/fighter-details/e14b5aa06eea9653,Abel Trujillo,15-8-0 (1 NC),1983-09-18,68.0,70.0,Orthodox,2026-02-24T05:03:19.367254+00:00
6448e57a9533b7e4,http://ufcstats.com/fighter-details/6448e57a9533b7e4,Abner Lloveras,20-9-1,1982-09-04,71.0,,,2026-02-24T04:58:55.623592+00:00
cb1b4d237b0079e6,http://ufcstats.com/fighter-details/cb1b4d237b0079e6,Abongo Humphrey,7-3-0,1977-05-27,71.0,,Orthodox,2026-02-24T05:02:39.870504+00:00
46d0a888d87d91ac,http://ufcstats.com/fighter-details/46d0a888d87d91ac,Abu Azaitar,14-4-1,1986-03-10,69.0,76.0,Orthodox,2026-02-24T04:58:10.517163+00:00
029e1293e609fd74,http://ufcstats.com/fighter-details/029e1293e609fd74,Abubakar Nurmagomedov,17-4-1,1989-11-13,71.0,72.0,Orthodox,2026-02-24T04:56:37.896873+00:00
36b8f265bcd1b7a4,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,Abus Magomedov,28-7-1,1990-09-02,74.0,78.0,Orthodox,2026-02-24T04:57:48.179503+00:00
957562fdf68a725a,http://ufcstats.com/fighter-details/957562fdf68a725a,Acacio Dos Santos,14-5-0,1991-09-29,76.0,79.0,Orthodox,2026-02-24T05:00:18.990758+00:00
41f3cfdab0b22236,http://ufcstats.com/fighter-details/41f3cfdab0b22236,Achilles Estremadura,7-1-0,1992-03-11,70.0,68.0,Orthodox,2026-02-24T04:58:00.720293+00:00
b3fb8d2293e17a59,http://ufcstats.com/fighter-details/b3fb8d2293e17a59,Achmed Labasanov,7-4-0,1978-04-24,75.0,,Orthodox,2026-02-24T05:01:55.597406+00:00
25b31165758402dd,http://ufcstats.com/fighter-details/25b31165758402dd,Adam Antolin,12-3-0,1982-02-28,65.0,63.0,Orthodox,2026-02-24T04:57:24.349554+00:00
3c99bd6cb5d835ef,http://ufcstats.com/fighter-details/3c99bd6cb5d835ef,Adam Bramhald,13-3-0,1994-03-24,70.0,70.0,Orthodox,2026-02-24T04:57:55.588418+00:00
b27b8881d7444114,http://ufcstats.com/fighter-details/b27b8881d7444114,Adam Cella,6-8-0,1985-06-26,74.0,,,2026-02-24T05:01:53.140354+00:00
a01a62132460a98d,http://ufcstats.com/fighter-details/a01a62132460a98d,Adam Fugitt,10-6-0,1989-01-12,73.0,77.0,Southpaw,2026-02-24T05:01:16.491844+00:00
515890922fe9ce96,http://ufcstats.com/fighter-details/515890922fe9ce96,Adam Livingston,6-1-0,2001-08-15,74.0,71.0,Orthodox,2026-02-24T04:58:28.768591+00:00
edfe95e3c33a4bf8,http://ufcstats.com/fighter-details/edfe95e3c33a4bf8,Adam Lynn,17-10-0 (1 NC),1977-11-16,70.0,,Orthodox,2026-02-24T05:03:38.231026+00:00
72ffecf712673af1,http://ufcstats.com/fighter-details/72ffecf712673af1,Adam Milstead,8-4-0,1987-07-03,75.0,76.0,Orthodox,2026-02-24T04:59:19.240728+00:00
89ea01f5a7ada40c,http://ufcstats.com/fighter-details/89ea01f5a7ada40c,Adam Schindler,10-6-0,1983-05-19,68.0,,,2026-02-24T04:59:51.902020+00:00
754968e325d6f60d,http://ufcstats.com/fighter-details/754968e325d6f60d,Adam Smith,0-3-0,,,,,2026-02-24T04:59:23.116978+00:00
16044bd8762cf794,http://ufcstats.com/fighter-details/16044bd8762cf794,Adam Steele,0-1-0,,,,,2026-02-24T04:56:59.206023+00:00
efa1f6b42c86793c,http://ufcstats.com/fighter-details/efa1f6b42c86793c,Adam Wieczorek,10-2-0,1992-02-05,77.0,81.0,Orthodox,2026-02-24T05:03:41.176817+00:00
0a95c474e61a6c44,http://ufcstats.com/fighter-details/0a95c474e61a6c44,Adam Yandiev,9-1-0,1988-08-07,69.0,74.0,Orthodox,2026-02-24T04:56:48.029790+00:00
