ufcstats_fight_id,ufcstats_fight_url,ufcstats_event_id,red_fighter_id,blue_fighter_id,weight_class,gender,is_title_bout,scheduled_rounds,winner_fighter_id,method,method_detail,round,time,referee,fetched_at
a5a81a39ccf9b680,http://ufcstats.com/fight-details/a5a81a39ccf9b680,bc0f994de0521926,6e15f63b6c2e2c15,5d1b7e3dd9e11074,Flyweight Bout,M,False,5.0,5d1b7e3dd9e11074,KO/TKO,,1.0,3:18,Herb Dean,2026-02-24T05:41:05.163526+00:00
24bb03f0a3415fbe,http://ufcstats.com/fight-details/24bb03f0a3415fbe,bc0f994de0521926,9560ff14eb3129f7,239d8e5359022f3b,Featherweight Bout,M,False,3.0,239d8e5359022f3b,KO/TKO,,2.0,1:29,Mark Smith,2026-02-24T05:41:06.039131+00:00
d000cb692343cdcd,http://ufcstats.com/fight-details/d000cb692343cdcd,bc0f994de0521926,64d47ef881a437a4,084532da3d25f3b8,Middleweight Bout,M,False,3.0,084532da3d25f3b8,Decision - Unanimous,,3.0,5:00,Kerry Hatley,2026-02-24T05:41:06.959683+00:00
93ca562453f65b8d,http://ufcstats.com/fight-details/93ca562453f65b8d,bc0f994de0521926,20bccc9bb4ceb23e,5b03b61f9d90125e,Featherweight Bout,M,False,3.0,20bccc9bb4ceb23e,KO/TKO,,1.0,1:14,Eric McMahon,2026-02-24T05:41:07.618947+00:00
47149f3187661509,http://ufcstats.com/fight-details/47149f3187661509,bc0f994de0521926,8667caa0451d245b,095854a135e6db55,Heavyweight Bout,M,False,3.0,draw,Decision - Unanimous,,3.0,5:00,Herb Dean,2026-02-24T05:41:08.502502+00:00
fc4ab243d21b795d,http://ufcstats.com/fight-details/fc4ab243d21b795d,bc0f994de0521926,887961364be5ceb3,07bc580bdf3eb9c8,Catch Weight Bout,M,False,3.0,887961364be5ceb3,Decision - Split,,3.0,5:00,Mark Smith,2026-02-24T05:41:14.737010+00:00
0fca825e14429c1f,http://ufcstats.com/fight-details/0fca825e14429c1f,bc0f994de0521926,84b3e7d38f2d2ec5,f139d6836efd43dd,Welterweight Bout,M,False,3.0,f139d6836efd43dd,Submission,,1.0,3:14,Herb Dean,2026-02-24T05:41:50.360012+00:00
225e93ebed9b71b8,http://ufcstats.com/fight-details/225e93ebed9b71b8,bc0f994de0521926,791c8437b341fba5,5d8006587d6a6711,Featherweight Bout,M,False,3.0,791c8437b341fba5,Decision - Unanimous,,3.0,5:00,Eric McMahon,2026-02-24T05:41:51.222498+00:00
a2523a8565fe4361,http://ufcstats.com/fight-details/a2523a8565fe4361,bc0f994de0521926,0f3a990526c5e706,e56cee1ad697db04,Heavyweight Bout,M,False,3.0,e56cee1ad697db04,KO/TKO,,2.0,3:49,Mark Smith,2026-02-24T05:41:53.133283+00:00
ceb5b0f1f6daddf6,http://ufcstats.com/fight-details/ceb5b0f1f6daddf6,bc0f994de0521926,51e2f44a8dbf6984,5078e1dacf9d25f4,Women's Bantamweight Bout,F,False,3.0,5078e1dacf9d25f4,Decision - Unanimous,,3.0,5:00,Kerry Hatley,2026-02-24T05:41:54.720394+00:00
ac56a1052c4c8f63,http://ufcstats.com/fight-details/ac56a1052c4c8f63,bc0f994de0521926,73a78713bd899f4c,ba15006c804a8de0,Heavyweight Bout,M,False,3.0,ba15006c804a8de0,Decision - Unanimous,,3.0,5:00,Eric McMahon,2026-02-24T05:41:55.767446+00:00
71170fb7ade3e1f4,http://ufcstats.com/fight-details/71170fb7ade3e1f4,bc0f994de0521926,5c637af9472ae7cc,59c438c81fbf3ece,Women's Flyweight Bout,F,False,3.0,5c637af9472ae7cc,KO/TKO,,1.0,2:05,Kerry Hatley,2026-02-24T05:41:56.815678+00:00
4a0db214d9721d6e,http://ufcstats.com/fight-details/4a0db214d9721d6e,bd92cf5da5413d2a,c03520b5c88ed6b4,d661ce4da776fc20,UFC Bantamweight Title Bout,M,True,5.0,d661ce4da776fc20,Decision - Unanimous,,5.0,5:00,Marc Goddard,2026-02-24T05:41:57.855908+00:00
dfa692db6d39330c,http://ufcstats.com/fight-details/dfa692db6d39330c,bd92cf5da5413d2a,a0f0004aadf10b71,17e97649403ba428,UFC Flyweight Title Bout,M,True,5.0,17e97649403ba428,KO/TKO,,1.0,0:26,Herb Dean,2026-02-24T05:41:58.761502+00:00
fbbb9e72900b71f5,http://ufcstats.com/fight-details/fbbb9e72900b71f5,bd92cf5da5413d2a,792be9a24df82ed6,4461d7e47375a895,Flyweight Bout,M,False,3.0,4461d7e47375a895,KO/TKO,,2.0,2:24,Mark Smith,2026-02-24T05:41:59.552668+00:00
1dc29f4c6fcdd356,http://ufcstats.com/fight-details/1dc29f4c6fcdd356,bd92cf5da5413d2a,056c493bbd76a918,6e743a33d56bdaa4,Bantamweight Bout,M,False,3.0,6e743a33d56bdaa4,Decision - Unanimous,,3.0,5:00,Chris Tognoni,2026-02-24T05:42:00.507931+00:00
